ID;airport_name;city;country;IATA;ICAO;latitude;longitude;altitude;timezone;DST;tz_database_timezone;type;source;flights_planned;flights_cancelled;flights_delayed;delay_duration
1600;Bar Yehuda Airfield;Metzada;Israel;MTZ;LLMZ;31.32819938659668;35.38859939575195;-1266;2;E;Asia/Jerusalem;airport;OurAirports;62;0;9;32.0
1595;Ein Yahav Airfield;Eyn-yahav;Israel;EIY;LLEY;30.621700286865234;35.20330047607422;-164;2;E;Asia/Jerusalem;airport;OurAirports;56;0;7;24.0
7646;Jacqueline Cochran Regional Airport;Palm Springs;United States;TRM;KTRM;33.62670135498;-116.16000366211;-115;-8;A;America/Los_Angeles;airport;OurAirports;60;0;7;28.0
4357;Atyrau Airport;Atyrau;Kazakhstan;GUW;UATG;47.12189865112305;51.8213996887207;-72;5;U;Asia/Oral;airport;OurAirports;71;0;9;35.0
2151;Ramsar Airport;Ramsar;Iran;RZR;OINR;36.9099006652832;50.67959976196289;-70;3.5;E;Asia/Tehran;airport;OurAirports;62;1;6;47.0
14104;Privolzhskiy Air Base;Astrakhan;Russia;\N;XRAP;46.396;47.893;-66;\N;\N;\N;airport;OurAirports;72;0;6;139.0
2966;Astrakhan Airport;Astrakhan;Russia;ASF;URWA;46.2832984924;48.0063018799;-65;4;N;Europe/Samara;airport;OurAirports;75;0;18;39.0
5932;Noshahr Airport;Noshahr;Iran;NSH;OINN;36.663299560546875;51.464698791503906;-61;3.5;E;Asia/Tehran;airport;OurAirports;60;0;2;22.0
3689;Imperial County Airport;Imperial;United States;IPL;KIPL;32.834201812699995;-115.57900238;-54;-8;A;America/Los_Angeles;airport;OurAirports;75;0;31;50.0
3758;El Centro NAF Airport (Vraciu Field);El Centro;United States;NJK;KNJK;32.829201;-115.671996;-42;-8;A;America/Los_Angeles;airport;OurAirports;62;0;9;31.0
2123;Sardar-e-Jangal Airport;Rasht;Iran;RAS;OIGG;37.323333;49.617778;-40;3.5;E;Asia/Tehran;airport;OurAirports;62;0;1;17.0
6747;Gorgan Airport;Gorgan;Iran;GBT;OING;36.909400939899996;54.4012985229;-24;3.5;E;Asia/Tehran;airport;OurAirports;60;0;6;25.0
591;Rotterdam The Hague Airport;Rotterdam;Netherlands;RTM;EHRD;51.956902;4.43722;-15;1;E;Europe/Amsterdam;airport;OurAirports;56;0;4;54.0
589;Lelystad Airport;Lelystad;Netherlands;LEY;EHLE;52.4603;5.52722;-13;1;E;Europe/Amsterdam;airport;OurAirports;60;0;12;27.0
580;Amsterdam Airport Schiphol;Amsterdam;Netherlands;AMS;EHAM;52.308601;4.76389;-11;1;E;Europe/Amsterdam;airport;OurAirports;60;0;10;30.0
1126;El Nouzha Airport;Alexandria;Egypt;ALY;HEAX;31.183900833129883;29.94890022277832;-6;2;U;Africa/Cairo;airport;OurAirports;50;0;5;48.0
4005;Xewkija Heliport;Gozo;Malta;GZM;LMMG;36.027199;14.2728;0;1;E;Europe/Malta;airport;OurAirports;62;0;3;42.0
4033;Lijiang Airport;Lijiang;China;LJG;ZPLJ;26.6800003052;100.246002197;0;8;U;Asia/Shanghai;airport;OurAirports;26;0;6;32.0
4085;Yinchuan Airport;Yinchuan;China;\N;ZLIC;38.481899;106.009003;0;8;U;Asia/Shanghai;airport;OurAirports;39;0;5;24.0
4106;Victoria Harbour Seaplane Base;Victoria;Canada;YWH;CYWH;48.4249858939;-123.388867378;0;-8;A;America/Vancouver;airport;OurAirports;29;0;4;57.0
4107;Coal Harbour Seaplane Base;Vancouver;Canada;\N;CAQ3;50.5999984741;-127.583000183;0;-8;A;America/Vancouver;airport;OurAirports;22;0;3;309.0
4109;Changzhou Benniu Airport;Changzhou;China;CZX;ZSCG;31.919701;119.778999;0;8;U;Asia/Shanghai;airport;OurAirports;56;0;10;41.0
