,Country,Code,Year,Share of global annual CO₂ emissions,Continent
0,Afghanistan,AFG,2010,0.025071083,Asia
1,Afghanistan,AFG,2011,0.03432688,Asia
2,Afghanistan,AFG,2012,0.02866719,Asia
3,Afghanistan,AFG,2013,0.026191164,Asia
4,Afghanistan,AFG,2014,0.02577556,Asia
5,Afghanistan,AFG,2015,0.027535116,Asia
6,Afghanistan,AFG,2016,0.025525136,Asia
7,Afghanistan,AFG,2017,0.027337566,Asia
8,Afghanistan,AFG,2018,0.029375708,Asia
9,Afghanistan,AFG,2019,0.029883645,Asia
10,Afghanistan,AFG,2020,0.033126526,Asia
11,Afghanistan,AFG,2021,0.031985395,Asia
12,Albania,ALB,2010,0.014338255,Europe
13,Albania,ALB,2011,0.015410659,Europe
14,Albania,ALB,2012,0.013854832,Europe
15,Albania,ALB,2013,0.014970514,Europe
16,Albania,ALB,2014,0.016863614,Europe
17,Albania,ALB,2015,0.013251763,Europe
18,Albania,ALB,2016,0.013038938,Europe
19,Albania,ALB,2017,0.015414549,Europe
20,Albania,ALB,2018,0.013533852,Europe
21,Albania,ALB,2019,0.0133418115,Europe
22,Albania,ALB,2020,0.013408993,Europe
23,Albania,ALB,2021,0.0124424305,Europe
36,Andorra,AND,2010,0.0015484312,Europe
37,Andorra,AND,2011,0.0014236547,Europe
38,Andorra,AND,2012,0.0013920706,Europe
39,Andorra,AND,2013,0.0013486148,Europe
40,Andorra,AND,2014,0.0012976278,Europe
41,Andorra,AND,2015,0.0013086242,Europe
42,Andorra,AND,2016,0.0013202046,Europe
43,Andorra,AND,2017,0.0012891138,Europe
44,Andorra,AND,2018,0.0013431628,Europe
45,Andorra,AND,2019,0.001294366,Europe
46,Andorra,AND,2020,0.0012729211,Europe
47,Andorra,AND,2021,0.0012199382,Europe
84,Armenia,ARM,2010,0.012746391,Europe
85,Armenia,ARM,2011,0.014407969,Europe
86,Armenia,ARM,2012,0.016420634,Europe
87,Armenia,ARM,2013,0.015671374,Europe
88,Armenia,ARM,2014,0.015751831,Europe
89,Armenia,ARM,2015,0.015381168,Europe
90,Armenia,ARM,2016,0.014646395,Europe
91,Armenia,ARM,2017,0.015348071,Europe
92,Armenia,ARM,2018,0.015819546,Europe
93,Armenia,ARM,2019,0.01694627,Europe
94,Armenia,ARM,2020,0.018235723,Europe
95,Armenia,ARM,2021,0.018333348,Europe
108,Austria,AUT,2010,0.21581843,Europe
109,Austria,AUT,2011,0.20266502,Europe
110,Austria,AUT,2012,0.19215387,Europe
111,Austria,AUT,2013,0.19184875,Europe
112,Austria,AUT,2014,0.18033853,Europe
113,Austria,AUT,2015,0.18659027,Europe
114,Austria,AUT,2016,0.18919711,Europe
115,Austria,AUT,2017,0.19279532,Europe
116,Austria,AUT,2018,0.18073171,Europe
117,Austria,AUT,2019,0.18320252,Europe
118,Austria,AUT,2020,0.17592245,Europe
119,Austria,AUT,2021,0.17408104,Europe
120,Azerbaijan,AZE,2010,0.091813244,Europe
121,Azerbaijan,AZE,2011,0.09561772,Europe
122,Azerbaijan,AZE,2012,0.09362134,Europe
123,Azerbaijan,AZE,2013,0.09500559,Europe
124,Azerbaijan,AZE,2014,0.09654527,Europe
125,Azerbaijan,AZE,2015,0.09753752,Europe
126,Azerbaijan,AZE,2016,0.097756855,Europe
127,Azerbaijan,AZE,2017,0.09587304,Europe
128,Azerbaijan,AZE,2018,0.09388839,Europe
129,Azerbaijan,AZE,2019,0.10176723,Europe
130,Azerbaijan,AZE,2020,0.106363215,Europe
131,Azerbaijan,AZE,2021,0.10368753,Europe
144,Bahrain,BHR,2010,0.087145224,Asia
145,Bahrain,BHR,2011,0.08254599,Asia
146,Bahrain,BHR,2012,0.07746894,Asia
147,Bahrain,BHR,2013,0.08821732,Asia
148,Bahrain,BHR,2014,0.08685178,Asia
149,Bahrain,BHR,2015,0.09128503,Asia
150,Bahrain,BHR,2016,0.08883949,Asia
151,Bahrain,BHR,2017,0.09096444,Asia
152,Bahrain,BHR,2018,0.08903136,Asia
153,Bahrain,BHR,2019,0.10197161,Asia
154,Bahrain,BHR,2020,0.106631845,Asia
155,Bahrain,BHR,2021,0.10509709,Asia
156,Bangladesh,BGD,2010,0.1618241,Asia
157,Bangladesh,BGD,2011,0.16399316,Asia
158,Bangladesh,BGD,2012,0.1734198,Asia
159,Bangladesh,BGD,2013,0.17497274,Asia
160,Bangladesh,BGD,2014,0.18553562,Asia
161,Bangladesh,BGD,2015,0.20573817,Asia
162,Bangladesh,BGD,2016,0.21448356,Asia
163,Bangladesh,BGD,2017,0.22365221,Asia
164,Bangladesh,BGD,2018,0.22400635,Asia
165,Bangladesh,BGD,2019,0.24717124,Asia
166,Bangladesh,BGD,2020,0.25755754,Asia
167,Bangladesh,BGD,2021,0.25098673,Asia
180,Belarus,BLR,2010,0.18716122,Europe
