,Country,Indicator,Sex,Year,Element,Source,Unit,Value,Flag Description,Continent
0,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Household income and expenditure survey,%,38.6,Figure from international organizations,Asia
1,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Household income and expenditure survey,%,40.3,Figure from international organizations,Asia
2,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Household income and expenditure survey,%,42.8,Figure from international organizations,Asia
3,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,44.7,Figure from international organizations,Asia
4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,25.1,Figure from international organizations,Asia
5,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,42.1,Figure from international organizations,Europe
6,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,45.4,Figure from international organizations,Europe
7,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,46.0,Figure from international organizations,Europe
8,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,44.0,Figure from international organizations,Europe
9,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,42.1,Figure from international organizations,Europe
10,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,41.2,Figure from international organizations,Europe
11,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,40.0,Figure from international organizations,Europe
12,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,38.1,Figure from international organizations,Europe
13,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,37.3,Figure from international organizations,Europe
14,Albania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,36.4,Figure from international organizations,Europe
33,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Household income and expenditure survey,%,38.6,Figure from international organizations,Europe
