Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2008","2008","6121","Value","3021","Household income and expenditure survey","%","59.1","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2012","2012","6121","Value","3021","Household income and expenditure survey","%","38.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2014","2014","6121","Value","3021","Household income and expenditure survey","%","40.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2017","2017","6121","Value","3021","Household income and expenditure survey","%","42.8","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2008","2008","6121","Value","3021","Household income and expenditure survey","%","50.2","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2012","2012","6121","Value","3021","Household income and expenditure survey","%","35.7","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2014","2014","6121","Value","3021","Household income and expenditure survey","%","35.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2017","2017","6121","Value","3021","Household income and expenditure survey","%","36.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2008","2008","6121","Value","3021","Household income and expenditure survey","%","76.4","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2012","2012","6121","Value","3021","Household income and expenditure survey","%","53.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2014","2014","6121","Value","3021","Household income and expenditure survey","%","56.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2017","2017","6121","Value","3021","Household income and expenditure survey","%","65.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2020","2020","6121","Value","3023","Labour force survey","%","44.7","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2021","2021","6121","Value","3023","Labour force survey","%","25.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing Data reference period: First quarter"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2020","2020","6121","Value","3023","Labour force survey","%","42.8","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2021","2021","6121","Value","3023","Labour force survey","%","21.9","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing Data reference period: First quarter"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2020","2020","6121","Value","3023","Labour force survey","%","52.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2021","2021","6121","Value","3023","Labour force survey","%","35.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing Data reference period: First quarter"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2007","2007","6121","Value","3023","Labour force survey","%","36.6","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2008","2008","6121","Value","3023","Labour force survey","%","44.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2009","2009","6121","Value","3023","Labour force survey","%","44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2010","2010","6121","Value","3023","Labour force survey","%","42.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2011","2011","6121","Value","3023","Labour force survey","%","45.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2012","2012","6121","Value","3023","Labour force survey","%","46","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2013","2013","6121","Value","3023","Labour force survey","%","44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2014","2014","6121","Value","3023","Labour force survey","%","42.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2015","2015","6121","Value","3023","Labour force survey","%","41.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2016","2016","6121","Value","3023","Labour force survey","%","40","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2017","2017","6121","Value","3023","Labour force survey","%","38.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2018","2018","6121","Value","3023","Labour force survey","%","37.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2019","2019","6121","Value","3023","Labour force survey","%","36.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2007","2007","6121","Value","3023","Labour force survey","%","31.5","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2008","2008","6121","Value","3023","Labour force survey","%","35.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2009","2009","6121","Value","3023","Labour force survey","%","34.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2010","2010","6121","Value","3023","Labour force survey","%","34","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2011","2011","6121","Value","3023","Labour force survey","%","38.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2012","2012","6121","Value","3023","Labour force survey","%","37.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2013","2013","6121","Value","3023","Labour force survey","%","36.9","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2014","2014","6121","Value","3023","Labour force survey","%","36.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2015","2015","6121","Value","3023","Labour force survey","%","36.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2016","2016","6121","Value","3023","Labour force survey","%","36","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2017","2017","6121","Value","3023","Labour force survey","%","34.8","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2018","2018","6121","Value","3023","Labour force survey","%","33.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2019","2019","6121","Value","3023","Labour force survey","%","32.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2007","2007","6121","Value","3023","Labour force survey","%","45","X","Figure from international organizations","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2008","2008","6121","Value","3023","Labour force survey","%","56.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2009","2009","6121","Value","3023","Labour force survey","%","56.9","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2010","2010","6121","Value","3023","Labour force survey","%","53","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2011","2011","6121","Value","3023","Labour force survey","%","54.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2012","2012","6121","Value","3023","Labour force survey","%","56.8","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2013","2013","6121","Value","3023","Labour force survey","%","52.7","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2014","2014","6121","Value","3023","Labour force survey","%","49.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2015","2015","6121","Value","3023","Labour force survey","%","47.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","008","Albania","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2016","2016","6121","Value","3023","Labour force survey","%","45.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
