,Country,Element,Item,Year,Unit,Value,Continent
0,Afghanistan,Value US$,Gross Domestic Product,2010,millions,14698.88968,Asia
1,Afghanistan,Value US$,Gross Domestic Product,2011,millions,17350.69495,Asia
2,Afghanistan,Value US$,Gross Domestic Product,2012,millions,19136.49934,Asia
3,Afghanistan,Value US$,Gross Domestic Product,2013,millions,19621.80246,Asia
4,Afghanistan,Value US$,Gross Domestic Product,2014,millions,19550.70257,Asia
5,Afghanistan,Value US$,Gross Domestic Product,2015,millions,18713.04841,Asia
6,Afghanistan,Value US$,Gross Domestic Product,2016,millions,18019.55818,Asia
7,Afghanistan,Value US$,Gross Domestic Product,2017,millions,18896.35202,Asia
8,Afghanistan,Value US$,Gross Domestic Product,2018,millions,18418.8483,Asia
9,Afghanistan,Value US$,Gross Domestic Product,2019,millions,18904.49026,Asia
10,Afghanistan,Value US$,Gross Domestic Product,2020,millions,20143.44179,Asia
11,Afghanistan,Value US$,Gross Domestic Product,2021,millions,14939.00945,Asia
12,Afghanistan,Value US$,Gross Domestic Product,2022,millions,14872.23854,Asia
13,Albania,Value US$,Gross Domestic Product,2010,millions,11926.94828,Europe
14,Albania,Value US$,Gross Domestic Product,2011,millions,12890.87332,Europe
15,Albania,Value US$,Gross Domestic Product,2012,millions,12319.7796,Europe
16,Albania,Value US$,Gross Domestic Product,2013,millions,12776.28074,Europe
17,Albania,Value US$,Gross Domestic Product,2014,millions,13228.24008,Europe
18,Albania,Value US$,Gross Domestic Product,2015,millions,11386.92485,Europe
19,Albania,Value US$,Gross Domestic Product,2016,millions,11861.35645,Europe
20,Albania,Value US$,Gross Domestic Product,2017,millions,13019.72986,Europe
21,Albania,Value US$,Gross Domestic Product,2018,millions,15156.43997,Europe
22,Albania,Value US$,Gross Domestic Product,2019,millions,15401.82608,Europe
23,Albania,Value US$,Gross Domestic Product,2020,millions,15131.86627,Europe
24,Albania,Value US$,Gross Domestic Product,2021,millions,18260.0435,Europe
25,Albania,Value US$,Gross Domestic Product,2022,millions,18214.69959,Europe
39,Andorra,Value US$,Gross Domestic Product,2010,millions,3446.565601,Europe
40,Andorra,Value US$,Gross Domestic Product,2011,millions,3624.386229,Europe
41,Andorra,Value US$,Gross Domestic Product,2012,millions,3188.830334,Europe
42,Andorra,Value US$,Gross Domestic Product,2013,millions,3192.603086,Europe
43,Andorra,Value US$,Gross Domestic Product,2014,millions,3267.334446,Europe
44,Andorra,Value US$,Gross Domestic Product,2015,millions,2788.757749,Europe
45,Andorra,Value US$,Gross Domestic Product,2016,millions,2894.646184,Europe
46,Andorra,Value US$,Gross Domestic Product,2017,millions,3000.160225,Europe
47,Andorra,Value US$,Gross Domestic Product,2018,millions,3218.419456,Europe
