,Country,Code,Year,Average precipitation in depth (mm per year),Continent
0,Afghanistan,AFG,2012,327.0,Asia
1,Afghanistan,AFG,2017,327.0,Asia
2,Albania,ALB,2012,1485.0,Europe
3,Albania,ALB,2017,1485.0,Europe
12,Armenia,ARM,2012,562.0,Europe
13,Armenia,ARM,2017,562.0,Europe
16,Austria,AUT,2012,1110.0,Europe
17,Austria,AUT,2017,1110.0,Europe
18,Azerbaijan,AZE,2012,447.0,Europe
19,Azerbaijan,AZE,2017,447.0,Europe
22,Bahrain,BHR,2012,83.0,Asia
23,Bahrain,BHR,2017,83.0,Asia
24,Bangladesh,BGD,2012,2666.0,Asia
25,Bangladesh,BGD,2017,2666.0,Asia
28,Belarus,BLR,2012,618.0,Europe
29,Belarus,BLR,2017,618.0,Europe
30,Belgium,BEL,2012,847.0,Europe
31,Belgium,BEL,2017,847.0,Europe
36,Bhutan,BTN,2012,2200.0,Asia
37,Bhutan,BTN,2017,2200.0,Asia
40,Bosnia and Herzegovina,BIH,2012,1028.0,Europe
41,Bosnia and Herzegovina,BIH,2017,1028.0,Europe
46,Brunei,BRN,2012,2722.0,Asia
47,Brunei,BRN,2017,2722.0,Asia
48,Bulgaria,BGR,2012,608.0,Europe
49,Bulgaria,BGR,2017,608.0,Europe
52,Cambodia,KHM,2012,1904.0,Asia
53,Cambodia,KHM,2017,1904.0,Asia
66,China,CHN,2012,645.0,Asia
67,China,CHN,2017,645.0,Asia
76,Croatia,HRV,2012,1113.0,Europe
77,Croatia,HRV,2017,1113.0,Europe
80,Cyprus,CYP,2012,498.0,Europe
81,Cyprus,CYP,2017,498.0,Europe
82,Denmark,DNK,2012,703.0,Europe
83,Denmark,DNK,2017,703.0,Europe
100,Estonia,EST,2012,626.0,Europe
101,Estonia,EST,2017,626.0,Europe
106,Finland,FIN,2012,536.0,Europe
107,Finland,FIN,2017,536.0,Europe
108,France,FRA,2012,867.0,Europe
109,France,FRA,2017,867.0,Europe
114,Georgia,GEO,2012,1026.0,Europe
115,Georgia,GEO,2017,1026.0,Europe
116,Germany,DEU,2012,700.0,Europe
117,Germany,DEU,2017,700.0,Europe
120,Greece,GRC,2012,652.0,Europe
121,Greece,GRC,2017,652.0,Europe
136,Hungary,HUN,2012,589.0,Europe
137,Hungary,HUN,2017,589.0,Europe
138,Iceland,ISL,2012,1940.0,Europe
139,Iceland,ISL,2017,1940.0,Europe
140,India,IND,2012,1083.0,Asia
141,India,IND,2017,1083.0,Asia
142,Indonesia,IDN,2012,2702.0,Asia
143,Indonesia,IDN,2017,2702.0,Asia
144,Iran,IRN,2012,228.0,Asia
145,Iran,IRN,2017,228.0,Asia
146,Iraq,IRQ,2012,216.0,Asia
147,Iraq,IRQ,2017,216.0,Asia
148,Ireland,IRL,2012,1118.0,Europe
149,Ireland,IRL,2017,1118.0,Europe
150,Israel,ISR,2012,435.0,Asia
151,Israel,ISR,2017,435.0,Asia
152,Italy,ITA,2012,832.0,Europe
153,Italy,ITA,2017,832.0,Europe
156,Japan,JPN,2012,1668.0,Asia
157,Japan,JPN,2017,1668.0,Asia
158,Jordan,JOR,2012,111.0,Asia
159,Jordan,JOR,2017,111.0,Asia
160,Kazakhstan,KAZ,2012,250.0,Asia
161,Kazakhstan,KAZ,2017,250.0,Asia
164,Kuwait,KWT,2012,121.0,Asia
165,Kuwait,KWT,2017,121.0,Asia
166,Kyrgyzstan,KGZ,2012,533.0,Asia
167,Kyrgyzstan,KGZ,2017,533.0,Asia
168,Laos,LAO,2012,1834.0,Asia
169,Laos,LAO,2017,1834.0,Asia
170,Latvia,LVA,2012,667.0,Europe
171,Latvia,LVA,2017,667.0,Europe
172,Lebanon,LBN,2012,661.0,Asia
173,Lebanon,LBN,2017,661.0,Asia
180,Lithuania,LTU,2012,656.0,Europe
181,Lithuania,LTU,2017,656.0,Europe
182,Luxembourg,LUX,2012,934.0,Europe
183,Luxembourg,LUX,2017,934.0,Europe
188,Malaysia,MYS,2012,2875.0,Asia
189,Malaysia,MYS,2017,2875.0,Asia
190,Maldives,MDV,2012,1972.0,Asia
191,Maldives,MDV,2017,1972.0,Asia
194,Malta,MLT,2012,560.0,Europe
195,Malta,MLT,2017,560.0,Europe
202,Moldova,MDA,2012,450.0,Europe
203,Moldova,MDA,2017,450.0,Europe
204,Mongolia,MNG,2012,241.0,Asia
205,Mongolia,MNG,2017,241.0,Asia
212,Nepal,NPL,2012,1500.0,Asia
213,Nepal,NPL,2017,1500.0,Asia
214,Netherlands,NLD,2012,778.0,Europe
215,Netherlands,NLD,2017,778.0,Europe
224,Norway,NOR,2012,1414.0,Europe
225,Norway,NOR,2017,1414.0,Europe
226,Oman,OMN,2012,125.0,Asia
227,Oman,OMN,2017,125.0,Asia
228,Pakistan,PAK,2012,494.0,Asia
229,Pakistan,PAK,2017,494.0,Asia
238,Philippines,PHL,2012,2348.0,Asia
239,Philippines,PHL,2017,2348.0,Asia
240,Poland,POL,2012,600.0,Europe
241,Poland,POL,2017,600.0,Europe
242,Portugal,PRT,2012,854.0,Europe
243,Portugal,PRT,2017,854.0,Europe
244,Qatar,QAT,2012,74.0,Asia
245,Qatar,QAT,2017,74.0,Asia
246,Romania,ROU,2012,637.0,Europe
247,Romania,ROU,2017,637.0,Europe
260,Saudi Arabia,SAU,2012,59.0,Asia
261,Saudi Arabia,SAU,2017,59.0,Asia
268,Singapore,SGP,2012,2497.0,Asia
269,Singapore,SGP,2017,2497.0,Asia
270,Slovakia,SVK,2012,824.0,Europe
271,Slovakia,SVK,2017,824.0,Europe
272,Slovenia,SVN,2012,1162.0,Europe
273,Slovenia,SVN,2017,1162.0,Europe
282,Spain,ESP,2012,636.0,Europe
283,Spain,ESP,2017,636.0,Europe
284,Sri Lanka,LKA,2012,1712.0,Asia
285,Sri Lanka,LKA,2017,1712.0,Asia
290,Sweden,SWE,2012,624.0,Europe
291,Sweden,SWE,2017,624.0,Europe
292,Switzerland,CHE,2012,1537.0,Europe
293,Switzerland,CHE,2017,1537.0,Europe
294,Syria,SYR,2012,252.0,Asia
295,Syria,SYR,2017,252.0,Asia
296,Tajikistan,TJK,2012,691.0,Asia
297,Tajikistan,TJK,2017,691.0,Asia
300,Thailand,THA,2012,1622.0,Asia
301,Thailand,THA,2017,1622.0,Asia
308,Turkey,TUR,2012,593.0,Asia
309,Turkey,TUR,2017,593.0,Asia
310,Turkmenistan,TKM,2012,161.0,Asia
311,Turkmenistan,TKM,2017,161.0,Asia
314,Ukraine,UKR,2012,565.0,Europe
315,Ukraine,UKR,2017,565.0,Europe
316,United Arab Emirates,ARE,2012,78.0,Asia
317,United Arab Emirates,ARE,2017,78.0,Asia
318,United Kingdom,GBR,2012,1220.0,Europe
319,United Kingdom,GBR,2017,1220.0,Europe
322,Uzbekistan,UZB,2012,206.0,Asia
323,Uzbekistan,UZB,2017,206.0,Asia
328,Vietnam,VNM,2012,1821.0,Asia
329,Vietnam,VNM,2017,1821.0,Asia
330,Yemen,YEM,2012,167.0,Asia
331,Yemen,YEM,2017,167.0,Asia
