,Country,Year,Value,Continent
0,Afghanistan,2010,75.08378791666667,Asia
1,Afghanistan,2011,83.09606591666666,Asia
2,Afghanistan,2012,87.02870441666666,Asia
3,Afghanistan,2013,93.61881258333334,Asia
4,Afghanistan,2014,100.86193808333333,Asia
5,Afghanistan,2015,100.01094058333332,Asia
6,Afghanistan,2016,105.681086,Asia
7,Afghanistan,2017,113.01400791666667,Asia
8,Afghanistan,2018,111.76973083333333,Asia
9,Afghanistan,2019,115.988022,Asia
10,Afghanistan,2020,127.60891033333333,Asia
11,Afghanistan,2021,134.66106541666667,Asia
12,Afghanistan,2022,160.36337133333333,Asia
13,Albania,2010,84.26813975,Europe
14,Albania,2011,87.9618995,Europe
15,Albania,2012,90.03660975000001,Europe
16,Albania,2013,93.83701366666666,Europe
17,Albania,2014,95.91172408333334,Europe
18,Albania,2015,100.03205983333334,Europe
19,Albania,2016,103.27015908333333,Europe
20,Albania,2017,107.31293583333333,Europe
21,Albania,2018,110.20201825,Europe
22,Albania,2019,113.41103291666667,Europe
23,Albania,2020,117.50228383333332,Europe
24,Albania,2021,122.06858558333333,Europe
25,Albania,2022,135.27794766666665,Europe
26,Andorra,2010,92.31123533333334,Europe
27,Andorra,2011,92.72389783333334,Europe
28,Andorra,2012,94.47655491666667,Europe
29,Andorra,2013,96.60478116666667,Europe
30,Andorra,2014,98.36207474999999,Europe
31,Andorra,2015,100.00345191666668,Europe
32,Andorra,2016,100.82877716666667,Europe
33,Andorra,2017,103.74059866666666,Europe
34,Andorra,2018,105.87346158333332,Europe
35,Andorra,2019,107.06044608333333,Europe
36,Andorra,2020,109.59206166666667,Europe
37,Andorra,2021,111.28907883333333,Europe
38,Andorra,2022,119.37850244444445,Europe
39,Armenia,2010,78.78238341666666,Europe
40,Armenia,2011,88.47480033333333,Europe
41,Armenia,2012,90.23439558333332,Europe
42,Armenia,2013,95.47690141666668,Europe
43,Armenia,2014,97.12398108333333,Europe
44,Armenia,2015,100.1166845,Europe
45,Armenia,2016,96.82292941666667,Europe
46,Armenia,2017,100.77459233333333,Europe
47,Armenia,2018,103.13055533333333,Europe
48,Armenia,2019,105.063042,Europe
49,Armenia,2020,105.34944025,Europe
50,Armenia,2021,117.16238208333334,Europe
51,Armenia,2022,131.94817133333333,Europe
52,Austria,2010,87.35316333333333,Europe
53,Austria,2011,91.0827925,Europe
54,Austria,2012,94.01765999999999,Europe
55,Austria,2013,97.27295666666667,Europe
56,Austria,2014,99.18098333333334,Europe
57,Austria,2015,100.0,Europe
58,Austria,2016,100.73333333333333,Europe
59,Austria,2017,103.11666666666667,Europe
60,Austria,2018,104.68333333333334,Europe
61,Austria,2019,105.75,Europe
62,Austria,2020,108.21569166666666,Europe
63,Austria,2021,109.06330000000001,Europe
64,Austria,2022,118.65464444444443,Europe
65,Azerbaijan,2010,83.49488941666667,Europe
66,Azerbaijan,2011,92.34964291666667,Europe
67,Azerbaijan,2012,92.96761299999999,Europe
68,Azerbaijan,2013,94.84973333333333,Europe
69,Azerbaijan,2014,95.49226875,Europe
70,Azerbaijan,2015,100.03390675000001,Europe
71,Azerbaijan,2016,113.75249741666666,Europe
72,Azerbaijan,2017,133.3586585,Europe
73,Azerbaijan,2018,136.00542725,Europe
74,Azerbaijan,2019,140.4863955,Europe
75,Azerbaijan,2020,146.92442758333334,Europe
76,Azerbaijan,2021,158.91052783333333,Europe
