Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","71.506529","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","70.892457","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","70.930123","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","71.43515","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","72.128023","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","73.517066","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","74.317204","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","76.754263","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","77.863797","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","78.690878","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","81.315496","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","81.654469","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","82.548897","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","81.811943","X","Figure from international organizations","base year is 2015"
