,Country,Element,Item,Year,Unit,Value,Continent
12,Armenia,Production,Cereals n.e.c.,2010,tonnes,4219.0,Europe
13,Armenia,Production,Cereals n.e.c.,2011,tonnes,9507.0,Europe
14,Armenia,Production,Cereals n.e.c.,2012,tonnes,14375.0,Europe
15,Armenia,Production,Cereals n.e.c.,2013,tonnes,16847.0,Europe
16,Armenia,Production,Cereals n.e.c.,2014,tonnes,18268.0,Europe
17,Armenia,Production,Cereals n.e.c.,2015,tonnes,15359.6,Europe
18,Armenia,Production,Cereals n.e.c.,2016,tonnes,21117.0,Europe
19,Armenia,Production,Cereals n.e.c.,2017,tonnes,12076.0,Europe
20,Armenia,Production,Cereals n.e.c.,2018,tonnes,9366.0,Europe
21,Armenia,Production,Cereals n.e.c.,2019,tonnes,5775.0,Europe
22,Armenia,Production,Cereals n.e.c.,2020,tonnes,7143.7,Europe
23,Armenia,Production,Cereals n.e.c.,2021,tonnes,9578.87,Europe
24,Austria,Production,Cereals n.e.c.,2010,tonnes,88124.83,Europe
25,Austria,Production,Cereals n.e.c.,2011,tonnes,42526.8,Europe
26,Austria,Production,Cereals n.e.c.,2012,tonnes,42659.42,Europe
27,Austria,Production,Cereals n.e.c.,2013,tonnes,49403.37,Europe
28,Austria,Production,Cereals n.e.c.,2014,tonnes,51430.52,Europe
29,Austria,Production,Cereals n.e.c.,2015,tonnes,54563.0,Europe
30,Austria,Production,Cereals n.e.c.,2016,tonnes,47311.0,Europe
31,Austria,Production,Cereals n.e.c.,2017,tonnes,43535.0,Europe
32,Austria,Production,Cereals n.e.c.,2018,tonnes,23450.0,Europe
33,Austria,Production,Cereals n.e.c.,2019,tonnes,22550.0,Europe
34,Austria,Production,Cereals n.e.c.,2020,tonnes,29800.0,Europe
35,Austria,Production,Cereals n.e.c.,2021,tonnes,27060.0,Europe
36,Belarus,Production,Cereals n.e.c.,2010,tonnes,21156.0,Europe
37,Belarus,Production,Cereals n.e.c.,2011,tonnes,50788.0,Europe
38,Belarus,Production,Cereals n.e.c.,2012,tonnes,40028.0,Europe
39,Belarus,Production,Cereals n.e.c.,2013,tonnes,15832.0,Europe
40,Belarus,Production,Cereals n.e.c.,2014,tonnes,27096.0,Europe
41,Belarus,Production,Cereals n.e.c.,2015,tonnes,23648.0,Europe
42,Belarus,Production,Cereals n.e.c.,2016,tonnes,18932.0,Europe
43,Belarus,Production,Cereals n.e.c.,2017,tonnes,21670.0,Europe
44,Belarus,Production,Cereals n.e.c.,2018,tonnes,19761.0,Europe
45,Belarus,Production,Cereals n.e.c.,2019,tonnes,20604.0,Europe
46,Belarus,Production,Cereals n.e.c.,2020,tonnes,22177.0,Europe
47,Belarus,Production,Cereals n.e.c.,2021,tonnes,23626.29,Europe
48,Belgium,Production,Cereals n.e.c.,2018,tonnes,15140.0,Europe
49,Belgium,Production,Cereals n.e.c.,2019,tonnes,18130.0,Europe
50,Belgium,Production,Cereals n.e.c.,2020,tonnes,20130.0,Europe
51,Belgium,Production,Cereals n.e.c.,2021,tonnes,21500.0,Europe
52,Bhutan,Production,Cereals n.e.c.,2010,tonnes,1000.0,Asia
53,Bhutan,Production,Cereals n.e.c.,2011,tonnes,1000.0,Asia
54,Bhutan,Production,Cereals n.e.c.,2012,tonnes,1100.0,Asia
55,Bhutan,Production,Cereals n.e.c.,2013,tonnes,1200.0,Asia
56,Bhutan,Production,Cereals n.e.c.,2014,tonnes,1248.58,Asia
57,Bhutan,Production,Cereals n.e.c.,2015,tonnes,1085.48,Asia
58,Bhutan,Production,Cereals n.e.c.,2016,tonnes,1178.02,Asia
59,Bhutan,Production,Cereals n.e.c.,2017,tonnes,1169.0,Asia
60,Bhutan,Production,Cereals n.e.c.,2018,tonnes,1180.41,Asia
61,Bhutan,Production,Cereals n.e.c.,2019,tonnes,1205.37,Asia
62,Bhutan,Production,Cereals n.e.c.,2020,tonnes,1219.43,Asia
63,Bhutan,Production,Cereals n.e.c.,2021,tonnes,1201.74,Asia
64,Bosnia and Herzegovina,Production,Cereals n.e.c.,2010,tonnes,0.0,Europe
65,Bosnia and Herzegovina,Production,Cereals n.e.c.,2011,tonnes,0.0,Europe
66,Bosnia and Herzegovina,Production,Cereals n.e.c.,2012,tonnes,0.0,Europe
67,Bosnia and Herzegovina,Production,Cereals n.e.c.,2013,tonnes,0.0,Europe
68,Bosnia and Herzegovina,Production,Cereals n.e.c.,2014,tonnes,0.0,Europe
69,Bosnia and Herzegovina,Production,Cereals n.e.c.,2015,tonnes,0.0,Europe
70,Bosnia and Herzegovina,Production,Cereals n.e.c.,2016,tonnes,0.0,Europe
71,Bosnia and Herzegovina,Production,Cereals n.e.c.,2017,tonnes,0.0,Europe
72,Bosnia and Herzegovina,Production,Cereals n.e.c.,2018,tonnes,0.0,Europe
73,Bosnia and Herzegovina,Production,Cereals n.e.c.,2019,tonnes,0.0,Europe
74,Bosnia and Herzegovina,Production,Cereals n.e.c.,2020,tonnes,0.0,Europe
75,Bosnia and Herzegovina,Production,Cereals n.e.c.,2021,tonnes,0.0,Europe
88,Bulgaria,Production,Cereals n.e.c.,2010,tonnes,527.0,Europe
89,Bulgaria,Production,Cereals n.e.c.,2011,tonnes,1238.72,Europe
